rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
182,5.465799808502197,60.880699157714844,19687.35542824074,8.044,202,AA,210
183,5.307000160217285,61.08150100708008,19649.426550925924,7.766,203,AA,200
184,5.307000160217285,61.08150100708008,19649.456597222223,,203,AA,200
185,5.559700012207031,60.87070083618164,19650.209328703702,,203,AA,215
186,5.386199951171875,60.87179946899414,19650.403171296297,8.043000000000001,203,AA,206
187,5.47130012512207,60.88199996948242,19650.647696759257,8.062,203,AA,211
188,5.347499847412109,60.84880065917969,19650.99832175926,8.023,203,AA,204
189,5.316699981689453,60.80619812011719,19651.030208333334,,203,AA,201
190,5.317299842834473,60.80619812011719,19651.379756944447,,203,AA,202
191,5.168700218200684,60.685699462890625,19652.187280092592,6.413,203,AA,194
192,5.168700218200684,60.685699462890625,19652.5134375,6.413,203,AA,194
193,5.215000152587891,60.65620040893555,19652.67042824074,6.413,203,AA,196
194,5.255799770355225,60.624298095703125,19652.937997685185,,203,AA,199
195,5.091300010681152,60.71220016479492,19653.09107638889,6.4110000000000005,203,AA,193
196,5.05620002746582,60.72549819946289,19653.734733796296,,203,AA,191
197,5.055799961090088,60.725799560546875,19653.749270833334,,203,AA,190
198,5.038300037384033,60.73350143432617,19653.932997685184,,203,AA,189
199,6.869800090789795,57.63370132446289,19668.302037037036,7.846,203,AA,242
200,6.361199855804443,57.650299072265625,19668.441435185185,,203,AA,233
201,5.934700012207031,57.6682014465332,19668.548333333332,,203,AA,223
202,5.857699871063232,57.76169967651367,19668.622893518517,,203,AA,220
203,5.957200050354004,57.92319869995117,19668.719050925927,8.040000000000001,203,AA,225
204,6.554200172424316,58.16080093383789,19668.89613425926,7.989,203,AA,238
205,6.0346999168396,58.29100036621094,19669.012800925924,8.192,203,AA,226
206,5.776199817657471,58.2859992980957,19669.096412037037,7.934,203,AA,218
207,5.483799934387207,58.33649826049805,19669.186550925926,8.361,203,AA,212
208,5.461699962615967,58.40380096435547,19669.288194444445,8.228,203,AA,209
209,5.572000026702881,58.561798095703125,19669.387314814816,8.120000000000001,203,AA,216
210,5.415299892425537,58.58919906616211,19669.46125,7.8500000000000005,203,AA,208
211,5.242000102996826,58.590301513671875,19669.54097222222,7.612,203,AA,198
